CustomerID,Recency,Frequency,Monetary,TotalQuantity,AvgUnitPrice,UniqueProducts,CountryCount,AvgInvoiceTicket,MaxInvoiceTicket,AvgSpendPerPurchase,AvgQuantityPerPurchase,Cluster
12346.0,326,1,77183.6,74215,1.04,1,1,77183.6,77183.6,77183.6,74215.0,1
12347.0,2,7,4310.0,2458,2.644010989010989,103,1,615.7142857142857,1294.32,615.7142857142857,351.1428571428572,0
12348.0,75,4,1797.24,2341,5.764838709677419,22,1,449.31,892.8,449.31,585.25,0
12349.0,19,1,1757.55,631,8.289041095890411,73,1,1757.55,1757.55,1757.55,631.0,0
12350.0,310,1,334.40000000000003,197,3.841176470588235,17,1,334.40000000000003,334.40000000000003,334.40000000000003,197.0,2
12352.0,36,8,2506.04,536,15.93070588235294,59,1,313.255,840.3,313.255,67.0,0
12353.0,204,1,89.0,20,6.074999999999999,4,1,89.0,89.0,89.0,20.0,2
12354.0,232,1,1079.4,530,4.5037931034482765,58,1,1079.4,1079.4,1079.4,530.0,2
12355.0,214,1,459.4,240,4.203846153846154,13,1,459.4,459.4,459.4,240.0,2
12356.0,23,3,2811.43,1591,3.201186440677966,53,1,937.1433333333332,2271.62,937.1433333333332,530.3333333333334,0
12357.0,33,1,6207.67,2708,3.3486259541984733,131,1,6207.67,6207.67,6207.67,2708.0,0
12358.0,2,2,1168.06,248,8.27421052631579,13,1,584.03,683.2,584.03,124.0,0
12359.0,58,4,6372.58,1622,8.620403225806452,214,1,1593.145,2876.85,1593.145,405.5,0
12360.0,52,3,2662.06,1165,3.54968992248062,105,1,887.3533333333334,1083.58,887.3533333333334,388.3333333333333,0
12361.0,287,1,189.9,91,3.335,10,1,189.9,189.9,189.9,91.0,2
12362.0,3,10,5226.2300000000005,2229,3.94093984962406,201,1,522.623,829.99,522.623,222.9,0
12363.0,110,2,552.0,408,2.3117391304347827,23,1,276.0,299.1,276.0,204.0,0
12364.0,8,4,1313.1,1506,1.910235294117647,70,1,328.275,623.92,328.275,376.5,0
12365.0,291,2,641.38,174,17.150454545454547,22,1,320.69,320.69,320.69,87.0,2
12367.0,4,1,168.9,173,3.2,11,1,168.9,168.9,168.9,173.0,0
12370.0,51,4,3545.69,2353,2.800299401197605,143,2,886.4224999999999,1590.82,886.4225,588.25,0
12371.0,45,2,1887.96,591,3.8742857142857146,63,1,943.98,1527.96,943.98,295.5,0
12372.0,72,3,1298.04,794,3.001346153846154,34,1,432.68,515.7,432.68,264.6666666666667,0
12373.0,311,1,364.6,197,4.582142857142857,14,1,364.6,364.6,364.6,197.0,2
12374.0,25,1,742.9300000000001,342,4.21969696969697,33,1,742.9300000000001,742.9300000000001,742.9300000000001,342.0,0
12375.0,11,2,457.5,178,6.912941176470589,14,1,228.75,230.3,228.75,89.0,0
12377.0,315,2,1628.12,944,2.718831168831169,72,1,814.06,1001.52,814.0600000000001,472.0,2
12378.0,130,1,4008.62,2529,2.9974429223744297,219,1,4008.62,4008.62,4008.62,2529.0,0
12379.0,82,2,852.24,407,2.86625,39,1,426.12,459.84,426.12,203.5,0
12380.0,22,4,2724.81,1127,3.378653846153846,77,1,681.2025000000001,1040.39,681.2025,281.75,0
12381.0,5,5,1845.31,808,4.683218390804598,70,1,369.062,1268.74,369.062,161.6,0
12383.0,185,5,1850.56,1532,3.086969696969697,84,1,370.112,651.16,370.112,306.4,2
12384.0,29,2,585.27,126,7.87925925925926,26,1,292.635,292.69,292.635,63.0,0
12386.0,338,2,401.9,354,2.391,10,1,200.95,258.90000000000003,200.95,177.0,2
12388.0,16,6,2780.6600000000003,1462,2.7777,57,1,463.4433333333333,902.09,463.4433333333334,243.66666666666663,0
12390.0,80,1,549.84,353,3.996875,32,1,549.84,549.84,549.84,353.0,0
12391.0,22,1,460.89,300,2.4599,92,1,460.89,460.89,460.89,300.0,0
12393.0,72,4,1582.6,816,2.2796875,47,1,395.65,521.5,395.65,204.0,0
12394.0,64,2,1272.48,819,3.3707407407407404,26,2,636.24,891.4000000000001,636.24,409.5,0
12395.0,19,12,3018.63,2118,3.9688461538461537,91,1,251.5525,346.68,251.5525,176.5,0
12397.0,36,2,2409.9,1263,3.4682539682539684,110,1,1204.9499999999998,1214.81,1204.95,631.5,0
12398.0,46,1,1635.66,1394,1.992705882352941,85,1,1635.66,1635.66,1635.66,1394.0,0
12399.0,119,4,1108.65,1178,2.1145762711864404,47,1,277.1625,480.9,277.1625,294.5,0
12401.0,303,1,84.3,11,9.68,5,1,84.3,84.3,84.3,11.0,2
12402.0,323,1,225.6,94,3.290909090909091,11,1,225.6,225.6,225.6,94.0,2
12403.0,50,1,427.7,96,7.080000000000001,5,1,427.7,427.7,427.7,96.0,0
12405.0,149,1,1710.39,857,3.54425925925926,54,1,1710.39,1710.39,1710.39,857.0,2
12406.0,22,2,3415.3,1818,2.487047619047619,92,1,1707.65,1794.05,1707.65,909.0,0
12407.0,50,5,1708.12,1416,3.2674025974025973,57,1,341.624,719.06,341.624,283.2,0
12408.0,33,5,2888.55,1409,3.0228571428571427,81,1,577.71,762.89,577.71,281.8,0
12409.0,79,3,11072.67,5551,3.574495412844037,91,1,3690.89,6207.08,3690.89,1850.3333333333333,0
12410.0,309,2,693.33,211,6.335384615384616,26,1,346.665,625.33,346.665,105.5,2
12412.0,75,3,1226.88,829,2.7137704918032783,43,1,408.96,514.5,408.96,276.3333333333333,0
12413.0,67,3,758.1,286,4.798421052631579,29,1,252.7,479.25,252.7,95.33333333333331,0
12414.0,217,3,562.4100000000001,300,8.57,16,1,187.47000000000003,242.8,187.47000000000003,100.0,2
12415.0,24,21,124914.53,77374,2.937086834733893,444,1,5948.310952380953,22775.93,5948.310952380953,3684.4761904761904,3
12417.0,3,9,3649.1,1552,5.337916666666666,158,2,405.4555555555555,562.69,405.4555555555555,172.44444444444446,0
12418.0,113,1,668.58,407,3.5644117647058824,34,1,668.58,668.58,668.58,407.0,0
12420.0,64,1,600.39,345,4.707241379310345,29,1,600.39,600.39,600.39,345.0,0
12421.0,16,4,807.04,484,4.520222222222222,32,1,201.76,239.35,201.76,121.0,0
12422.0,96,3,803.5600000000001,370,3.26025641025641,39,2,267.8533333333333,417.36,267.8533333333333,123.33333333333331,0
12423.0,1,8,1859.31,1339,2.9136,97,1,232.41375,347.35,232.41375,167.375,0
12424.0,163,2,1760.96,740,2.780666666666667,30,1,880.48,1466.32,880.48,370.0,2
12425.0,78,1,777.2,496,2.5644444444444443,36,1,777.2,777.2,777.2,496.0,0
12426.0,195,1,582.73,258,3.936333333333333,30,1,582.73,582.73,582.73,258.0,2
12427.0,22,3,825.8000000000001,533,4.589032258064516,26,1,275.26666666666665,303.5,275.2666666666667,177.66666666666666,0
12428.0,26,9,7956.46,3536,4.627414965986395,258,1,884.0511111111111,2474.62,884.0511111111111,392.8888888888889,0
12429.0,9,4,3750.4,1557,3.630721649484536,82,2,937.6,1281.5,937.6,389.25,0
12430.0,43,1,256.4,117,6.225454545454546,11,1,256.4,256.4,256.4,117.0,0
